metric,variant,value,block,repetition,model
Reported cache tokens,vllm_dflash,1126472.0,16,1,27B
128K seq equivalents (est.),vllm_dflash,8.59,16,1,27B
Configured request limit,vllm_dflash,32.0,16,1,27B
Reported cache tokens,sglang_baseline,2140480.0,16,1,27B
128K seq equivalents (est.),sglang_baseline,16.33,16,1,27B
Configured request limit,sglang_baseline,32.0,16,1,27B
Reported cache tokens,sglang_dflash,1071151.0,16,1,27B
128K seq equivalents (est.),sglang_dflash,8.17,16,1,27B
Configured request limit,sglang_dflash,32.0,16,1,27B
Reported cache tokens,pr2_dflash,1126456.0,16,1,27B
128K seq equivalents (est.),pr2_dflash,8.59,16,1,27B
Configured request limit,pr2_dflash,32.0,16,1,27B
Reported cache tokens,vllm_baseline,5035701.0,16,1,4B
128K seq equivalents (est.),vllm_baseline,38.42,16,1,4B
Configured request limit,vllm_baseline,32.0,16,1,4B
Reported cache tokens,vllm_dflash,2844760.0,16,1,4B
128K seq equivalents (est.),vllm_dflash,21.7,16,1,4B
Configured request limit,vllm_dflash,32.0,16,1,4B
Reported cache tokens,sglang_baseline,5128384.0,16,1,4B
128K seq equivalents (est.),sglang_baseline,39.13,16,1,4B
Configured request limit,sglang_baseline,32.0,16,1,4B
Reported cache tokens,sglang_dflash,2674702.0,16,1,4B
128K seq equivalents (est.),sglang_dflash,20.41,16,1,4B
Configured request limit,sglang_dflash,32.0,16,1,4B
Reported cache tokens,pr2_dflash,2844760.0,16,1,4B
128K seq equivalents (est.),pr2_dflash,21.7,16,1,4B
Configured request limit,pr2_dflash,32.0,16,1,4B
Reported cache tokens,vllm_baseline,6344192.0,16,1,35B-A3B
128K seq equivalents (est.),vllm_baseline,48.4,16,1,35B-A3B
Configured request limit,vllm_baseline,32.0,16,1,35B-A3B
Reported cache tokens,vllm_dflash,1959911.0,16,1,35B-A3B
128K seq equivalents (est.),vllm_dflash,14.95,16,1,35B-A3B
Configured request limit,vllm_dflash,32.0,16,1,35B-A3B
Reported cache tokens,sglang_baseline,6697728.0,16,1,35B-A3B
128K seq equivalents (est.),sglang_baseline,51.1,16,1,35B-A3B
Configured request limit,sglang_baseline,32.0,16,1,35B-A3B
Reported cache tokens,sglang_dflash,2648553.0,16,1,35B-A3B
128K seq equivalents (est.),sglang_dflash,20.21,16,1,35B-A3B
Configured request limit,sglang_dflash,32.0,16,1,35B-A3B
Reported cache tokens,pr2_dflash,1959911.0,16,1,35B-A3B
128K seq equivalents (est.),pr2_dflash,14.95,16,1,35B-A3B
Configured request limit,pr2_dflash,32.0,16,1,35B-A3B
Reported cache tokens,vllm_baseline,2134931.0,16,2,27B
128K seq equivalents (est.),vllm_baseline,16.29,16,2,27B
Configured request limit,vllm_baseline,32.0,16,2,27B
Reported cache tokens,vllm_dflash,1145334.0,16,2,27B
128K seq equivalents (est.),vllm_dflash,8.74,16,2,27B
Configured request limit,vllm_dflash,32.0,16,2,27B
Reported cache tokens,sglang_baseline,2140480.0,16,2,27B
128K seq equivalents (est.),sglang_baseline,16.33,16,2,27B
Configured request limit,sglang_baseline,32.0,16,2,27B
Reported cache tokens,sglang_dflash,1071151.0,16,2,27B
128K seq equivalents (est.),sglang_dflash,8.17,16,2,27B
Configured request limit,sglang_dflash,32.0,16,2,27B
Reported cache tokens,pr2_dflash,1130705.0,16,2,27B
128K seq equivalents (est.),pr2_dflash,8.63,16,2,27B
Configured request limit,pr2_dflash,32.0,16,2,27B
Reported cache tokens,vllm_baseline,5035701.0,16,2,4B
128K seq equivalents (est.),vllm_baseline,38.42,16,2,4B
Configured request limit,vllm_baseline,32.0,16,2,4B
Reported cache tokens,vllm_dflash,2862364.0,16,2,4B
128K seq equivalents (est.),vllm_dflash,21.84,16,2,4B
Configured request limit,vllm_dflash,32.0,16,2,4B
Reported cache tokens,sglang_baseline,5128384.0,16,2,4B
128K seq equivalents (est.),sglang_baseline,39.13,16,2,4B
Configured request limit,sglang_baseline,32.0,16,2,4B
Reported cache tokens,sglang_dflash,2674702.0,16,2,4B
128K seq equivalents (est.),sglang_dflash,20.41,16,2,4B
Configured request limit,sglang_dflash,32.0,16,2,4B
Reported cache tokens,pr2_dflash,2862364.0,16,2,4B
128K seq equivalents (est.),pr2_dflash,21.84,16,2,4B
Configured request limit,pr2_dflash,32.0,16,2,4B
Reported cache tokens,vllm_baseline,6380032.0,16,2,35B-A3B
128K seq equivalents (est.),vllm_baseline,48.68,16,2,35B-A3B
Configured request limit,vllm_baseline,32.0,16,2,35B-A3B
Reported cache tokens,vllm_dflash,1971091.0,16,2,35B-A3B
128K seq equivalents (est.),vllm_dflash,15.04,16,2,35B-A3B
Configured request limit,vllm_dflash,32.0,16,2,35B-A3B
Reported cache tokens,sglang_baseline,6697728.0,16,2,35B-A3B
128K seq equivalents (est.),sglang_baseline,51.1,16,2,35B-A3B
Configured request limit,sglang_baseline,32.0,16,2,35B-A3B
Reported cache tokens,sglang_dflash,2648553.0,16,2,35B-A3B
128K seq equivalents (est.),sglang_dflash,20.21,16,2,35B-A3B
Configured request limit,sglang_dflash,32.0,16,2,35B-A3B
Reported cache tokens,pr2_dflash,1971091.0,16,2,35B-A3B
128K seq equivalents (est.),pr2_dflash,15.04,16,2,35B-A3B
Configured request limit,pr2_dflash,32.0,16,2,35B-A3B
Reported cache tokens,vllm_baseline,2134931.0,16,3,27B
128K seq equivalents (est.),vllm_baseline,16.29,16,3,27B
Configured request limit,vllm_baseline,32.0,16,3,27B
Reported cache tokens,vllm_dflash,1145334.0,16,3,27B
128K seq equivalents (est.),vllm_dflash,8.74,16,3,27B
Configured request limit,vllm_dflash,32.0,16,3,27B
Reported cache tokens,sglang_baseline,2140480.0,16,3,27B
128K seq equivalents (est.),sglang_baseline,16.33,16,3,27B
Configured request limit,sglang_baseline,32.0,16,3,27B
Reported cache tokens,sglang_dflash,1071151.0,16,3,27B
128K seq equivalents (est.),sglang_dflash,8.17,16,3,27B
Configured request limit,sglang_dflash,32.0,16,3,27B
Reported cache tokens,pr2_dflash,1145334.0,16,3,27B
128K seq equivalents (est.),pr2_dflash,8.74,16,3,27B
Configured request limit,pr2_dflash,32.0,16,3,27B
Reported cache tokens,vllm_baseline,5037287.0,16,3,4B
128K seq equivalents (est.),vllm_baseline,38.43,16,3,4B
Configured request limit,vllm_baseline,32.0,16,3,4B
Reported cache tokens,vllm_dflash,2862364.0,16,3,4B
128K seq equivalents (est.),vllm_dflash,21.84,16,3,4B
Configured request limit,vllm_dflash,32.0,16,3,4B
Reported cache tokens,sglang_baseline,5128384.0,16,3,4B
128K seq equivalents (est.),sglang_baseline,39.13,16,3,4B
Configured request limit,sglang_baseline,32.0,16,3,4B
Reported cache tokens,sglang_dflash,2674702.0,16,3,4B
128K seq equivalents (est.),sglang_dflash,20.41,16,3,4B
Configured request limit,sglang_dflash,32.0,16,3,4B
Reported cache tokens,pr2_dflash,2862364.0,16,3,4B
128K seq equivalents (est.),pr2_dflash,21.84,16,3,4B
Configured request limit,pr2_dflash,32.0,16,3,4B
Reported cache tokens,vllm_baseline,6380032.0,16,3,35B-A3B
128K seq equivalents (est.),vllm_baseline,48.68,16,3,35B-A3B
Configured request limit,vllm_baseline,32.0,16,3,35B-A3B
Reported cache tokens,vllm_dflash,1971091.0,16,3,35B-A3B
128K seq equivalents (est.),vllm_dflash,15.04,16,3,35B-A3B
Configured request limit,vllm_dflash,32.0,16,3,35B-A3B
Reported cache tokens,sglang_baseline,6697728.0,16,3,35B-A3B
128K seq equivalents (est.),sglang_baseline,51.1,16,3,35B-A3B
Configured request limit,sglang_baseline,32.0,16,3,35B-A3B
Reported cache tokens,sglang_dflash,2648553.0,16,3,35B-A3B
128K seq equivalents (est.),sglang_dflash,20.21,16,3,35B-A3B
Configured request limit,sglang_dflash,32.0,16,3,35B-A3B
Reported cache tokens,pr2_dflash,1971091.0,16,3,35B-A3B
128K seq equivalents (est.),pr2_dflash,15.04,16,3,35B-A3B
Configured request limit,pr2_dflash,32.0,16,3,35B-A3B
