block,model,variant,concurrency,metric,statistic,unit,mean,std,n,minimum,maximum,original,rerun_mean,rerun_std,rerun_n,change_pct,cv_pct
16,27B,sglang_baseline,1,interactivity,derived,tokens/s/user,134.6824367158763,0.22685485879141018,3,134.4225433100428,134.84075047998166,134.84075047998166,134.6032798338236,0.2556000431469466,2,-0.17611192856222813,0.16843685362626695
16,27B,sglang_baseline,1,interactivity,derived_p90,tokens/s/user,134.86914819232155,0.014193345101053408,3,134.85373973125976,134.8816882827489,134.872016562956,134.86771400700434,0.019762610282316666,2,-0.0031901027813585614,0.010523789384962892
16,27B,sglang_baseline,1,output_token_throughput,avg,tokens/s,132.89894906817096,0.028103873395666053,3,132.87053011723793,132.92672689360123,132.92672689360123,132.88506015545585,0.020548577109541798,2,-0.03134564366331638,0.021146798821749958
16,27B,sglang_baseline,1,time_to_first_token,p99,ms,39.79041199000001,1.9740229383659647,3,37.80423822000001,41.75205547000001,41.75205547000001,38.809590250000014,1.4217824757853266,2,-7.047473919252278,4.961051770115045
16,27B,sglang_baseline,2,inter_chunk_latency,p99,ms,10.973441660000006,0.17510858809827304,3,10.801380320000002,11.15144618000001,10.801380320000002,11.059472330000009,0.13007066605366935,2,2.389435445783916,1.5957490231763163
16,27B,sglang_baseline,2,inter_token_latency,p90,ms,7.457833032810458,0.0009354417726530412,3,7.457009472941176,7.458850092156863,7.457009472941176,7.458244812745098,0.0008559943531423655,2,0.016566155754582645,0.012543077440023127
16,27B,sglang_baseline,2,inter_token_latency,p99,ms,7.465591776164428,0.008615907292902234,3,7.4597579891372545,7.475487856963872,7.4597579891372545,7.468508669678014,0.009870061314001316,2,0.11730515324361868,0.1154082295312536
16,27B,sglang_baseline,2,interactivity,derived,tokens/s/user,133.94797322933948,0.15448893039822895,3,133.7705336606813,134.05260619127046,134.05260619127046,133.895656748374,0.17695076758100386,2,-0.11708048605375554,0.11533502648354388
16,27B,sglang_baseline,2,interactivity,derived_p90,tokens/s/user,134.0872081861759,0.01681803592761211,3,134.06892317778593,134.10201551019117,134.10201551019117,134.0798045241683,0.01538854763082618,2,-0.016562753317583834,0.012542610257244518
16,27B,sglang_baseline,2,output_token_throughput,avg,tokens/s,261.40119735295565,0.6529577144180486,3,260.9008892309469,262.1398415511246,262.1398415511246,261.03187525387114,0.18524221010072356,2,-0.4226623052403844,0.24979140150471296
16,27B,sglang_baseline,2,time_to_first_token,p99,ms,71.82878431333333,5.446012376396443,3,68.26595379999999,78.09781919,69.12257995,73.18188649499999,6.952178688982328,2,5.872620130695783,7.581935888876681
16,27B,sglang_baseline,4,inter_chunk_latency,p99,ms,11.647252329999993,0.6831387053205921,3,11.112518389999993,12.416837579999989,11.112518389999993,11.914619299999995,0.7102439028476799,2,7.2179939942488724,5.865234872271308
16,27B,sglang_baseline,4,inter_token_latency,p90,ms,7.64223567372549,0.0012778951584621915,3,7.640790296470588,7.6432156160784315,7.640790296470588,7.642958362352941,0.0003638117075600824,2,0.02837489053133524,0.016721483254640776
